year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,162736,0.2
2000,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,163421,0.22
2001,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,163102,0.25
2002,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,163525,0.28
2003,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,163752,0.31
2004,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,163759,0.35
2005,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,163801,0.39
2006,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,164197,0.43000000000000005
2007,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,164878,0.48000000000000004
2008,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,166254,0.54
2009,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,167133,0.6
2010,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,167837,0.6699999999999999
2011,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,168547,0.75
2012,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,169297,0.8300000000000001
2013,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,170363,0.93
2014,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,170435,2.19
2015,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,170409,5.14
2016,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,15.823034802355485,27,170838,12.07
2017,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,28.805433749009833,43,169898,28.38
2018,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,16.295653303943737,24,170024,22.779999999999998
2019,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,20.64185543116454,34,169831,18.279999999999998
1999,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,424484,0.96
2000,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,421346,0.9400000000000001
2001,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,417059,0.93
2002,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,414503,0.91
2003,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,412158,0.9
2004,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,409893,0.89
2005,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,408735,0.8700000000000001
2006,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,407556,0.8600000000000001
2007,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,405286,0.8500000000000001
2008,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,403531,0.8300000000000001
2009,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,401094,0.8200000000000001
2010,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,399504,0.81
2011,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,398643,0.8
2012,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,399003,1.44
2013,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,398563,2.6
