year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1156898,0.19
2000,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1162877,0.18
2001,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1169299,0.18
2002,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1173950,0.17
2003,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1181015,0.17
2004,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1189488,0.16
2005,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1200444,0.16
2006,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1219303,0.15000000000000002
2007,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1231942,0.15000000000000002
2008,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1246295,0.14
2009,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1257451,0.14
2010,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1267093,0.13
2011,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1273606,0.13
2012,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1282940,0.12000000000000001
2013,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1292236,0.12000000000000001
2014,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1299143,0.32999999999999996
2015,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,1306404,0.93
2016,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,2.5272792982343852,31,1311414,2.6
2017,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,3.1055242370801146,38,1316062,2.9099999999999997
2018,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,3.6329787659499684,44,1320461,3.2600000000000002
2019,01,AL,Alabama,nhb,Non-Hispanic Black,synth,Synthetic opioids,3.3333766572635453,44,1324613,3.65
1999,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,422065,0.61
2000,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,423762,0.6
2001,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,426137,0.6
2002,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,428236,0.6
2003,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,430651,0.6
2004,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,434042,0.6
2005,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,437543,0.59
2006,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,444779,0.59
2007,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,447377,0.59
2008,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,451963,0.59
2009,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,455462,0.58
2010,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,460480,0.58
2011,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,463757,0.58
2012,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,465758,0.58
2013,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,468354,0.58
2014,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,470706,0.5700000000000001
2015,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,473995,0.5700000000000001
2016,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,477128,0.5700000000000001
2017,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,479006,1.1400000000000001
2018,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,2.6226470624479714,11,480659,2.27
2019,05,AR,Arkansas,nhb,Non-Hispanic Black,synth,Synthetic opioids,4.263036903512239,19,482025,4.54
1999,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,159387,0.55
2000,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,165607,0.56
2001,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,172878,0.5700000000000001
2002,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,180671,0.5700000000000001
2003,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,188114,0.58
2004,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,198399,0.59
2005,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,211439,0.6
2006,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,226891,0.61
2007,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,239996,0.62
2008,04,AZ,Arizona,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,252747,0.62
