year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1156898,0.15000000000000002
2000,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1162877,0.17
2001,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1169299,0.19
2002,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1173950,0.21000000000000002
2003,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1181015,0.23
2004,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1189488,0.26
2005,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1200444,0.3
2006,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1219303,0.32999999999999996
2007,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1231942,0.37
2008,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1246295,0.42000000000000004
2009,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1257451,0.47000000000000003
2010,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1267093,0.53
2011,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1273606,0.6
2012,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1282940,0.6699999999999999
2013,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1292236,0.75
2014,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,0.8372403439273947,11,1299143,0.8400000000000001
2015,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,1306404,0.9500000000000001
2016,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,1.0113000615283996,13,1311414,1.07
2017,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,2.023856588419478,26,1316062,1.2
2018,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,1.3406750832471863,17,1320461,1.35
2019,01,AL,Alabama,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,1.2707536098974168,17,1324613,1.51
1999,05,AR,Arkansas,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,422065,0.38
2000,05,AR,Arkansas,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,423762,0.42000000000000004
