year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1156898,0.15000000000000002
2000,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1162877,0.14
2001,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1169299,0.14
2002,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1173950,0.14
2003,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1181015,0.13
2004,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1189488,0.13
2005,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1200444,0.12000000000000001
2006,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1219303,0.12000000000000001
2007,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1231942,0.12000000000000001
2008,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1246295,0.12000000000000001
2009,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1257451,0.11
2010,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1267093,0.11
2011,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1273606,0.11
2012,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1282940,0.1
2013,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1292236,0.1
2014,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1299143,0.23
2015,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,1306404,0.53
2016,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,1.1517305450410544,14,1311414,1.22
2017,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,1.3620488774940178,17,1316062,1.3
2018,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,1.593617708196733,20,1320461,1.3900000000000001
2019,01,AL,Alabama,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,1.3202815425919414,18,1324613,1.48
1999,05,AR,Arkansas,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,422065,0.5
2000,05,AR,Arkansas,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,423762,0.47000000000000003
2001,05,AR,Arkansas,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,426137,0.45
2002,05,AR,Arkansas,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,428236,0.42000000000000004
2003,05,AR,Arkansas,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,430651,0.4
2004,05,AR,Arkansas,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,434042,0.38
2005,05,AR,Arkansas,nhb,Non-Hispanic Black,poly_opioid,Multiple opioids,NA,NA,437543,0.36
