year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,121663,1.92
2000,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,124050,2.04
2001,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,127077,2.16
2002,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,129170,2.3
2003,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,129910,2.44
2004,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,132446,2.6
2005,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,133719,2.7600000000000002
2006,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,137343,2.9299999999999997
2007,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,140722,3.11
2008,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,144510,3.3099999999999996
2009,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,148549,3.51
2010,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,151635,3.73
2011,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,154811,3.9699999999999998
2012,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,159103,4.21
2013,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,163603,4.48
2014,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,6.713267817098275,11,168497,4.76
2015,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,173245,5.05
2016,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,177010,5.37
2017,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,179639,5.71
2018,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,6.073396324804921,11,183531,6.06
2019,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,8.015889360395013,14,186864,6.44
1999,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,223525,1.48
2000,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,223078,1.57
2001,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,219789,1.6700000000000002
2002,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,natural,Natural and semi-synthetic opioids,NA,NA,213962,1.77
