year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,121663,2.06
2000,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,124050,2.14
2001,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,127077,2.21
2002,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,129170,2.3
2003,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,129910,2.38
2004,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,132446,2.4699999999999998
2005,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,133719,2.56
2006,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,137343,2.66
2007,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,140722,2.7600000000000002
2008,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,144510,2.86
2009,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,148549,2.9699999999999998
2010,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,151635,3.08
2011,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,154811,3.19
2012,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,159103,3.3099999999999996
2013,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,163603,3.44
2014,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,168497,3.56
2015,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,173245,3.7
2016,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,177010,3.8299999999999996
2017,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,179639,3.98
2018,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,183531,4.13
2019,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,186864,4.28
1999,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,223525,1.5
2000,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,223078,1.57
2001,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,219789,1.6400000000000001
2002,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,213962,1.71
2003,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,209118,1.79
2004,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,204643,1.87
2005,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,200181,1.95
2006,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,198094,2.04
2007,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,196640,2.13
2008,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,196285,2.23
2009,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,197106,2.3299999999999996
2010,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,196774,2.4299999999999997
2011,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,196803,2.54
2012,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,196501,2.65
2013,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,195466,2.77
2014,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,194001,2.8899999999999997
2015,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,193140,3.02
2016,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,190875,3.16
2017,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,188450,3.3
2018,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,186368,3.4499999999999997
2019,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,185058,3.6
1999,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,162736,4.42
2000,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,163421,4.38
2001,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,163102,4.34
2002,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,163525,4.3
2003,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,163752,4.2700000000000005
2004,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,163759,4.23
2005,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,163801,4.1899999999999995
2006,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,164197,4.159999999999999
2007,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,7.008195696491871,11,164878,4.119999999999999
2008,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,166254,4.09
2009,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,167133,4.05
2010,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,167837,4.02
2011,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,7.618801639326118,12,168547,3.98
2012,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,169297,3.9499999999999997
2013,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,170363,3.9099999999999997
2014,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,170435,3.88
2015,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,170409,3.8499999999999996
2016,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,170838,3.8099999999999996
2017,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,169898,3.7800000000000002
2018,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,170024,3.75
2019,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,169831,3.72
1999,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,424484,0.61
2000,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,421346,0.71
2001,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,417059,0.81
2002,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,414503,0.9400000000000001
2003,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,412158,1.08
2004,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,409893,1.24
2005,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,408735,1.43
2006,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,NA,NA,407556,1.6500000000000001
2007,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_natural,Natural opioid alone,3.169566932930114,14,405286,1.9
