year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,121663,0.04
2000,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,124050,0.06
2001,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,127077,0.09
2002,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,129170,0.13
2003,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,129910,0.2
2004,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,132446,0.31
2005,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,133719,0.47000000000000003
2006,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,137343,0.73
2007,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,140722,1.12
2008,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,144510,1.71
2009,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,148549,1.54
2010,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,151635,1.3800000000000001
2011,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,154811,1.25
2012,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,159103,1.12
2013,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,163603,1.01
2014,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,168497,0.91
2015,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,173245,0.81
2016,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,177010,0.73
2017,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,179639,1.55
2018,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,183531,3.2800000000000002
2019,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,synth,Synthetic opioids,7.050813629487926,13,186864,6.930000000000001
1999,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,162736,0.52
2000,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,163421,0.55
2001,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,163102,0.59
2002,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,synth,Synthetic opioids,NA,NA,163525,0.63
