year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,162736,9.02
2000,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,163421,9.239999999999998
2001,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,163102,9.47
2002,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,163525,9.7
2003,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,14.134409794668201,22,163752,9.94
2004,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,7.903100842748351,12,163759,10.18
2005,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,11.692417786003693,18,163801,10.43
2006,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,9.05002943988262,13,164197,10.68
2007,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,8.801076104120964,14,164878,10.94
2008,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,10.607768949798292,17,166254,11.209999999999999
2009,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,9.908132016847247,17,167133,11.48
2010,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,11.396500869962592,20,167837,11.76
2011,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,14.611100089372265,23,168547,12.05
2012,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,11.019926912256736,19,169297,12.350000000000001
2013,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,12.395285589511335,21,170363,12.65
2014,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,opioid,All opioids,10.712658195405204,18,170435,12.96
