year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1156898,0.25
2000,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1162877,0.23
2001,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1169299,0.22
2002,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1173950,0.21000000000000002
2003,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1181015,0.19
2004,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1189488,0.18
2005,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1200444,0.17
2006,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1219303,0.16
2007,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1231942,0.15000000000000002
2008,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1246295,0.14
2009,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1257451,0.13
2010,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1267093,0.12000000000000001
2011,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1273606,0.11
2012,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1282940,0.11
2013,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1292236,0.1
2014,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1299143,0.25
2015,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,1306404,0.62
2016,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,1.551351026119479,19,1311414,1.54
2017,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,1.916447532495313,23,1316062,1.78
2018,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,2.2005505698376755,26,1320461,2.06
2019,01,AL,Alabama,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,2.234178803287359,29,1324613,2.3699999999999997
1999,05,AR,Arkansas,nhb,Non-Hispanic Black,single_synth,Synthetic opioid alone,NA,NA,422065,0.45
