year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,24886,0.91
2000,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,24770,0.88
2001,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,25248,0.8400000000000001
2002,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,25932,0.81
2003,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,25918,0.7799999999999999
2004,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,26237,0.75
2005,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,26229,0.73
2006,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,26447,0.7
2007,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,26814,0.6699999999999999
2008,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,27184,0.65
2009,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,27541,0.89
2010,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,28637,1.23
2011,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,29512,1.7
2012,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,30643,2.34
2013,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,31401,3.22
2014,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,31315,4.430000000000001
2015,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,31291,6.109999999999999
2016,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,31985,8.41
2017,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,32282,11.59
2018,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,32296,15.96
2019,02,AK,Alaska,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,32019,21.99
1999,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1156898,0.32999999999999996
2000,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1162877,0.36
2001,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1169299,0.39
2002,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1173950,0.43000000000000005
2003,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1181015,0.47000000000000003
2004,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1189488,0.51
2005,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1200444,0.56
2006,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1219303,0.61
2007,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,1.1380467845706552,14,1231942,0.6699999999999999
2008,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1246295,0.73
2009,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1257451,0.8
2010,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1267093,0.8700000000000001
2011,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,1273606,0.9500000000000001
2012,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,1.2392147047223847,15,1282940,1.04
2013,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,0.8615736498868364,12,1292236,1.1400000000000001
2014,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,2.0613253359076653,26,1299143,1.6900000000000002
2015,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,2.3436197149848472,31,1306404,2.52
2016,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,4.1839345710502425,53,1311414,3.75
2017,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,5.322458226146078,66,1316062,5.57
2018,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,4.96952993073304,62,1320461,5.2
2019,01,AL,Alabama,nhb,Non-Hispanic Black,opioid,All opioids,4.96902180344015,65,1324613,4.859999999999999
1999,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,422065,1.02
2000,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,423762,1.05
2001,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,426137,1.08
2002,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,428236,1.11
2003,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,430651,1.1300000000000001
2004,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,434042,1.1600000000000001
2005,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,437543,1.1900000000000002
2006,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,444779,1.22
2007,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,447377,1.26
2008,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,451963,1.29
2009,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,455462,1.32
2010,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,460480,1.36
2011,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,463757,1.3900000000000001
2012,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,465758,1.43
2013,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,468354,1.46
2014,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,470706,1.82
2015,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,3.131157266610046,13,473995,2.27
2016,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,477128,2.8299999999999996
2017,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,2.982070371328743,14,479006,3.53
2018,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,4.4477257073768355,19,480659,4.39
2019,05,AR,Arkansas,nhb,Non-Hispanic Black,opioid,All opioids,5.858334411503694,26,482025,5.470000000000001
1999,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,159387,2.73
2000,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,165607,3.15
2001,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,172878,3.65
2002,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,180671,4.22
2003,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,6.598556347022029,12,188114,4.88
2004,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,198399,5.6499999999999995
2005,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,5.452651777408802,11,211439,6.53
2006,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,10.3409477137617,19,226891,7.56
2007,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,5.710410460241971,13,239996,7.08
2008,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,5.725370672798957,14,252747,6.63
2009,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,5.253149508766162,14,263243,6.21
2010,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,7.168176699915373,19,270425,5.819999999999999
2011,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,4.122231145737464,11,277864,5.45
2012,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,5.970346787502131,16,287210,5.1
2013,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,NA,NA,295854,4.78
2014,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,5.126445424478141,16,305795,4.470000000000001
2015,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,7.3432549170175125,23,317352,6.06
2016,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,6.4632780011114415,21,330381,8.2
2017,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,11.66656909652819,40,341339,11.1
2018,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,13.703787649660873,53,353675,15.02
2019,04,AZ,Arizona,nhb,Non-Hispanic Black,opioid,All opioids,21.34082567982389,78,366837,20.330000000000002
1999,06,CA,California,nhb,Non-Hispanic Black,opioid,All opioids,5.378744119233707,114,2312110,3.9299999999999997
2000,06,CA,California,nhb,Non-Hispanic Black,opioid,All opioids,3.344727189548721,73,2329679,3.9899999999999998
2001,06,CA,California,nhb,Non-Hispanic Black,opioid,All opioids,2.2241274618145375,48,2340237,4.05
2002,06,CA,California,nhb,Non-Hispanic Black,opioid,All opioids,5.025117824042793,114,2346002,4.1
